nombrePasajero,rutPasajero,tipoPasajero,numeroAsiento,codigoViaje
Carlos,76543210-9,General,25,29348
Juan,98765432-1,General,7,29348
Ana,45678901-2,Tercera Edad,12,29348
Javier,34567890-1,Estudiante,6,29347
Gabriel,90123456-7,Estudiante,15,29347
Sofía,01234567-8,General,18,29347
Diego,12345678-9,General,7,29347
Fernando,78901234-5,General,3,29347
Marta,23456789-0,General,14,29347
Isabel,89012345-6,Tercera Edad,9,29347
Marta,23456789-0,General,14,29346
Gabriel,90123456-7,Estudiante,15,29346
Sofía,01234567-8,General,18,29346
Javier,34567890-1,Estudiante,6,29346
Fernando,78901234-5,General,3,29346
Diego,12345678-9,General,7,29346
Isabel,89012345-6,Tercera Edad,9,29346
Ana,12345678-9,General,5,29345
Pedro,98765432-1,Tercera Edad,12,29345
María,45678901-2,Estudiante,20,29345
Luisa,34567890-4,General,15,29345
Juan,56789012-3,General,8,29345
